pos_ft,acceleration
0.00491,0
0.00491,-0.000661444
0.00491,-0.000661444
0.00491,-0.001657
0.00491,-0.001497
0.00491,-0.001870333
0.00491,-0.001870333
0.00491,-0.002713
0.00982,-0.002713
0.00982,-0.002713
0.00982,0
0.00982,-0.003385
0.00982,-0.003385
0.00982,0
0.00982,-0.003833
0.00982,-0.003833
0.01473,0
0.01473,-0.002670333
0.01473,-7.70E-05
0.01473,0
0.01473,0.003575
0.01473,0.0080543
0.01473,0.0080543
0.01473,0.012902
0.01963,0.012902
0.01963,0
0.01963,0.017142
0.01963,0.017142
0.01963,0.019462
0.01963,0.020315333
0.01963,0.021221
0.01963,0.020467429
0.01963,0
0.02454,0.018875333
0.02454,0.017182
0.02454,0
0.02454,0.012342
0.02454,0.012342
0.02454,0
0.02454,0.0072702
0.02454,0.0072702
0.02945,0.005639
0.02945,0.005543
0.02945,0.002292474
0.02945,0.002292474
0.02945,0.000423
0.02945,0.000423
0.02945,0.000423
0.02945,0
0.03436,0.000839
0.04909,0.015406
0.04909,0
0.04909,0
0.04909,0.010679778
0.04909,0.008742
0.04909,0.00638275
0.04909,0.00638275
0.054,0.003649667
0.054,0
0.054,0.002663
0.054,0.002823
0.054,0.003943
0.054,0.0042548
0.054,0.0055747
0.054,0
0.0589,0.0076226
0.0589,0.0076226
0.0589,0
0.0589,0.011408667
0.0589,0.011210571
0.0589,0
0.0589,0.012742
0.0589,0.012742
0.06381,0.015158
0.06381,0.015158
0.06381,0.01511
0.06381,0.013926
0.06381,0
0.06381,0.012942
0.06381,0.009462
0.06381,0
0.06872,0.0090141
0.06872,0.0057669
0.06872,0
0.06872,0.003196333
0.06872,0.003196333
0.06872,0.002583
0.06872,0
0.06872,0.001767
0.07363,0.000231
0.07363,0
0.07363,-0.000998176
0.07363,-0.000643667
0.07363,0
0.07363,-2.50E-05
0.07363,-2.50E-05
0.07363,0
0.07363,0.000327
0.07854,0.000327
0.07854,0.000191
0.07854,0
0.08345,-0.001257
0.08345,-0.001257
0.08345,0
0.08345,-0.001817
0.08345,-0.002154778
0.08345,-0.002745
0.08345,-0.003763667
0.08345,-0.003763667
